ACCOUNTABILITY_ACHIEVEMENT_GRADE,tested,novice,apprentice,proficient,distinguished,PCT_BONUS,NAPD_CALCULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_ACHIEVEMENT_LEVEL,tested,novice,apprentice,proficient,distinguished,PCT_BONUS,NAPD_CALCULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_ACHIEVEMENT_SUMMARY,READING,MATH,SCIENCE,SOCIAL_STUDIES,WRITING,LANGUAGE_MECHANICS,TOTAL_POINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_CCR_HIGHSCHOOL,NBR_GRADUATES_WITH_DIPLOMA,COLLEGE_READY,CAREER_READY_ACADEMIC,CAREER_READY_TECHNICAL,CAREER_READY_TOTAL,NBR_CCR_REGULAR,PCT_CCR_NO_BONUS,PCT_CCR_WITH_BONUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_CCR_MIDDLESCHOOL,tested,ENGLISH_BNCHMRK_PCT,READING_BNCHMRK_PCT,MATH_BNCHMRK_PCT,SCIENCE_BNCHMRK_PCT,TOTAL_POINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_FEDERAL_DATA_ATTENDANCE,ATTENDANCE_RATE,ATTENDANCE_TARGET,MET_ACADEMIC_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_FEDERAL_DATA_PARTICIPATION_RATE,membership,tested,partic,MET_PARTICIPATION_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_GAP_LEVEL,tested,novice,apprentice,proficient,distinguished,NAPD_CALCULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_GAP_SUMMARY,READING,MATH,SCIENCE,SOCIAL_STUDIES,WRITING,LANGUAGE_MECHANICS,TOTAL_POINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_GROWTH,tested,READING_PCT,MATH_PCT,READING_MATH_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_PROFILE,overall,rank,classification,REWARD_RECOGNITION,BASE_YR_SCORE,amogoal,amomet,TREND_DISPLAY,PARTICIPATION_NEXT_YR,GRADUATION_RATE_GOAL,KY_RANK_PY,CLASSIFICATION_PY,REWARD_RECOGNITION_PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_SUMMARY,ACHIEVEMENT_POINTS,ACHIEVEMENT_SCORE,GAP_POINTS,GAP_SCORE,GROWTH_POINTS,GROWTH_SCORE,CCR_POINTS,CCR_SCORE,GRADUATION_POINTS,GRADUATION_SCORE,WEIGHTED_SUMMARY,NGL_WEIGHTED,PR_TOTAL,PR_WEIGHTED,OVERALL,PY_YR_NGL_TOTAL,PY_YR_NGL_WEIGHTED,PY_YR_PR_TOTAL,PY_YR_PR_WEIGHTED,PY_YR_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_ACT,STDNT_TESTED_CNT,STDNT_TESTED_BNCHMRK_CNT,ENGLISH_MEAN_SCORE,ENGLISH_BNCHMRK_PCT,MATHEMATICS_MEAN_SCORE,MATHEMATICS_BNCHMRK_PCT,READING_MEAN_SCORE,READING_BNCHMRK_PCT,SCIENCE_MEAN_SCORE,COMPOSITE_MEAN_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_ADVANCE_PLACEMENT,TEST_TAKERS_CNT,TEST_TAKERS_PCT,EXAM_TAKEN_CNT,EXAM_TAKEN_GRADE3TO5_CNT,EXAM_TAKEN_GRADE3TO5_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_EXPLORE,STDNT_TESTED_CNT,STDNT_TESTED_BNCHMRK_CNT,ENGLISH_MEAN_SCORE,ENGLISH_BNCHMRK_PCT,MATHEMATICS_MEAN_SCORE,MATHEMATICS_BNCHMRK_PCT,READING_MEAN_SCORE,READING_BNCHMRK_PCT,SCIENCE_MEAN_SCORE,SCIENCE_BNCHMRK_PCT,COMPOSITE_MEAN_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_KPREP_EOC,tested,ENROLLMENT,PARTICIP_RATE,novice,apprentice,proficient,distinguished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_KPREP_GRADE,tested,ENROLLMENT,PARTICIP_RATE,novice,apprentice,proficient,distinguished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSEMENT_KPREP_LEVEL,tested,ENROLLMENT,PARTICIP_RATE,novice,apprentice,proficient,distinguished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_KSCREEN,COMP_AND_DOMAIN_ENROLLMENT,COMP_AND_DOMAIN_NUMTESTED,COMP_AND_DOMAIN_PARTCIPRATE,SHSE_ENROLLMENT,SHSE_NUMTESTED,SHSE_PARTICIPRATE,KR_NOT_READY,KR_KINDERGARTENREADY,COG_BELOW_AVG,COG_AVG,COG_ABOVE_AVG,LANG_BELOW_AVG,LANG_AVG,LANG_ABOVE_AVG,PHYDEV_BELOW_AVG,PHYDEV_AVG,PHYDEV_ABOVE_AVG,SELFHELP_BELOW_AVG,SELFHELP_AVG,SELFHELP_ABOVE_AVG,SOCIAL_EMO_BELOW_AVG,SOCIAL_EMO_AVG,SOCIAL_EMO_ABOVE_AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_NAEP,BELOW_BASIC,AT_BASIC,AT_PROFICIENT,AT_ADVANCED,partic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_NRT,READING_PERCENTILE,MATHEMATICS_PERCENTILE,SCIENCE_PERCENTILE,SOCIAL_PERCENTILE,LANGUAGE_MECHANICS_PERCENTILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_PLAN,STDNT_TESTED_CNT,STDNT_TESTED_BNCHMRK_CNT,ENGLISH_MEAN_SCORE,ENGLISH_BNCHMRK_PCT,MATHEMATICS_MEAN_SCORE,MATHEMATICS_BNCHMRK_PCT,READING_MEAN_SCORE,READING_BNCHMRK_PCT,SCIENCE_MEAN_SCORE,SCIENCE_BNCHMRK_PCT,COMPOSITE_MEAN_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTE_CAREER_CCR,TOTALSENIOR_ENROLL,PREPSENIOR_ENROLL,COLLEGEREADY,WORK_KEYS,ASVAB,IND_CERTS,KOSSA,CR_TOTAL,CCR_TOTAL,TOTAL_CCR_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTE_CAREER_PATHWAYS,ENROLLMENT_CNT,CERTIFICATION_CNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTE_CAREER_PERKINS,TOTAL_ENROLLMENT,BENCHMARK_STUDENTS,PERFORMANCE_GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELIVERY_TARGET_CCR,CCR_2010,CCR_2011,CCR_2012,CCR_2013,CCR_2014,CCR_2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELIVERY_TARGET_GRADUATION_RATE_COHORT,COHORT_2013,COHORT_2014,COHORT_2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELIVERY_TARGET_KSCREEN,KSCREEN_2013,KSCREEN_2014,KSCREEN_2015,KSCREEN_2016,KSCREEN_2017,KSCREEN_2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELIVERY_TARGET_PROFICIENCY_GAP,YR_2014,YR_2015,YR_2016,YR_2017,YR_2018,YR_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELIVERY_TARGET_PROGRAM_REVIEW,PR_2013,PR_2014,PR_2015,PR_2016,PR_2017,PR_2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCE,FINANCE_VALUE,FINANCE_RANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEARNING_ENVIRONMENT_EQUITY,EQ_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEARNING_ENVIRONMENT_PROGRAMS,TOTAL_CNT,TOTAL_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEARNING_ENVIRONMENT_SAFETY,WHITE_CNT,BLACK_CNT,HISPANIC_CNT,ASIAN_CNT,AIAN_CNT,HAWAIIAN_CNT,OTHER_CNT,MALE_CNT,FEMALE_CNT,TOTAL_STDNT_CNT,TOTAL_UNIQUE_EVENT_CNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEARNING_ENVIRONMENT_STUDENT-TEACHERS (Detail),MEMBERSHIP_TOTAL,MALE_TOTAL,FEMALE_TOTAL,WHITE_MALE_CNT,WHITE_FEMALE_CNT,WHITE_TOTAL,BLACK_MALE_CNT,BLACK_FEMALE_CNT,BLACK_TOTAL,HISPANIC_MALE_CNT,HISPANIC_FEMALE_CNT,HISPANIC_TOTAL,ASIAN_MALE_CNT,ASIAN_FEMALE_CNT,ASIAN_TOTAL,AIAN_MALE_CNT,AIAN_FEMALE_CNT,AIAN_TOTAL,HAWAIIAN_MALE_CNT,HAWAIIAN_FEMALE_CNT,HAWAIIAN_TOTAL,TWO_OR_MORE_RACE_MALE_CNT,TWO_OR_MORE_RACE_FEMALE_CNT,TWO_OR_MORE_RACE_TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEARNING_ENVIRONMENT_STUDENT-TEACHERS (summary),SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_TOTAL,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_TWO_OR_MORE_CNT,MEMBERSHIP_TWO_OR_MORE_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_FAILURE_CNT,TRANSITION_FAILURE_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,WHITE_FTE_TOTAL,BLACK_FTE_TOTAL,HISPANIC_FTE_TOTAL,ASIAN_FTE_TOTAL,AIAN_FTE_TOTAL,HAWAIIAN_FTE_TOTAL,TWO_OR_MORE_FTE_TOTAL,RACE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS
LEARNING_ENVIRONMENT_TEACHING_METHODS,ONSITE_CLASSROOM_CNT,OFFSITE_CTE_CNT,OFFSITE_COLLEGE_CNT,HOME_HOSPITAL_CNT,ONLINE_CNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROFILE,LOW_GRADE,HIGH_GRADE,TITLE1_STATUS,MEMBERSHIP,CONTACT_NAME,ADDRESS,ADDRESS2,PO_BOX,CITY,STATE,ZIPCODE,PHONE,FAX,LATITUDE,LONGITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROGRAM_REVIEW,PROGREV_TOTAL_POINTS,PROGREV_TOTAL_SCORE,AH_CURR_AND_INST,AH_FORM_AND_SUMM,AH_PROFDEV_AND_SUP,AH_ADMIN_AND_SUP,AH_TOTAL_POINTS,AH_CLASSIFICATION,PL_CURR_AND_INST,PL_FORM_AND_SUMM,PL_PROFDEV_AND_SUP,PL_ADMIN_AND_SUP,PL_TOTAL_POINTS,PL_CLASSIFICATION,WR_CURR_AND_INST,WR_FORM_AND_SUMM,WR_PROFDEV_AND_SUP,WR_ADMIN_AND_SUP,WR_TOTAL_POINTS,WR_CLASSIFICATION,K3_CURR_AND_INST,K3_FORM_AND_SUMM,K3_PROFDEV_AND_SUP,K3_ADMIN_AND_SUP,K3_TOTAL_POINTS,K3_CLASSIFICATION,WL_CURR_AND_INST,WL_FORM_AND_SUMM,WL_PROFDEV_AND_SUP,WL_ADMIN_AND_SUP,WL_TOTAL_POINTS,WL_CLASSIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_GRADUATION_RATE,AFGR_ACTUAL,AFGR_GAIN,AFGR_GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_GRADUATION_RATE_AFGR,2012AFGR,2013AFGRGoal,2013AFGR,2013MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_GRADUATION_RATE_COHORT (2013),COHORT_NUMERATOR,COHORT_DENOMINATOR,COHORT_RATE,COHORT_GOAL_2014,COHORT_GOAL_2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_GRADUATION_RATE_COHORT (2014),COHORT_RATE,COHORT_GOAL_2014,COHORT_GOAL_2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,